air_temperature,process_temperature,temperature,rotational_speed,rpm,torque,tool_wear,vibration,pressure,current,operating_hours,failure
27.46,37.64,69.21,2373.3,2338.0,23.42,25.3,1.838,4.649,15.94,992.6,0
24.77,35.67,71.11,1145.3,1149.5,48.91,148.0,1.58,5.384,16.21,3184.4,0
28.35,36.88,68.41,1435.3,1499.3,39.42,22.6,1.161,4.745,21.84,558.6,0
28.73,38.45,68.44,1703.9,1664.4,34.0,141.6,1.479,6.55,16.7,5398.9,0
22.95,33.78,57.11,1445.8,1490.7,37.49,15.8,1.133,8.527,7.85,2264.3,0
24.25,34.31,78.19,1086.4,1050.6,50.37,166.2,1.295,2.408,15.44,2892.8,0
27.11,38.57,66.63,1320.1,1355.6,47.31,25.5,2.676,4.632,15.98,2338.3,0
26.22,34.64,62.65,1482.6,1419.5,38.72,5.7,1.108,5.777,9.56,4363.5,0
26.82,35.13,61.48,1815.9,1831.8,28.61,71.5,0.158,5.27,6.57,2668.1,0
25.14,35.91,61.86,1905.9,1828.4,29.31,43.9,5.028,2.631,7.81,4953.7,0
28.61,39.47,62.8,1171.9,1148.4,47.53,6.0,1.686,7.359,15.91,3476.2,0
28.41,38.21,70.12,2096.6,2056.1,27.22,9.3,1.179,5.718,13.94,440.1,0
26.98,37.38,60.45,1475.9,1492.8,38.82,44.0,3.04,6.643,18.71,1688.7,0
29.1,39.85,69.79,940.1,944.2,66.81,36.2,2.553,6.345,20.14,5431.1,0
27.79,36.97,72.38,1409.5,1420.0,44.6,75.4,1.047,5.066,17.84,400.1,0
25.13,34.42,69.53,1189.3,1214.4,47.42,55.8,1.694,3.574,18.09,5754.1,0
27.59,37.78,65.61,2006.3,1996.7,29.39,44.4,2.01,5.634,19.49,5065.6,0
24.93,35.84,76.58,2023.0,2102.1,27.73,17.2,2.507,3.48,16.49,4769.7,0
28.61,37.44,75.63,1051.7,995.1,47.96,11.9,2.523,7.104,16.71,5005.5,0
26.75,36.55,64.13,1657.6,1645.1,37.18,24.3,1.23,7.271,7.11,3946.8,0
26.48,36.24,79.05,1226.5,1232.8,51.74,74.3,0.309,6.12,12.64,597.3,0
25.49,35.91,66.16,1297.2,1324.0,41.43,64.3,4.686,5.234,10.66,3179.1,0
29.3,39.29,74.04,864.9,880.7,75.56,12.9,3.498,7.082,19.84,3346.3,0
26.54,36.0,54.27,1696.7,1692.3,35.28,24.0,1.842,7.379,11.04,1180.1,0
25.99,37.24,66.04,1217.3,1221.1,43.89,133.0,0.776,6.406,10.93,5521.4,0
26.15,35.61,58.92,2068.8,2075.9,32.06,123.1,3.504,7.475,13.55,4603.9,0
27.91,37.62,69.99,1212.2,1229.8,51.32,56.5,1.884,7.532,20.8,4119.0,0
27.58,35.99,60.53,1297.9,1298.8,45.41,35.6,6.675,8.286,22.62,2963.9,1
